GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,TurtleToBufferedImage,122,35,16,0,26,6,10,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,PointOnPath,153,79,10,0,27,13,6,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,PrintTurtle,194,61,34,0,42,10,20,1,2,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,PathImageMask,351,99,24,0,57,16,16,1,4,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,AddTurtles,40,46,4,0,8,8,3,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,TurtleToRectangle,23,36,4,0,5,6,3,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,PatternOnPath,99,59,12,0,22,10,7,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,LoadTurtle,55,65,2,0,11,11,2,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,SaveTurtle,33,34,4,0,8,7,3,2,1,2
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,ColorTurtle,108,71,12,0,17,12,7,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,TransformTurtle,91,97,12,0,13,16,7,1,1,1
Makelangelo,com.marginallyclever.makelangelo.donatelloimpl.nodes,TurtleDAO4JSON,0,21,0,0,0,7,0,3,0,3
Makelangelo,com.marginallyclever.convenience,LineSegment2D,50,47,0,0,3,12,3,3,3,3
Makelangelo,com.marginallyclever.convenience,ButtonIcon,12,27,1,1,4,8,2,3,1,3
Makelangelo,com.marginallyclever.convenience,QuadGraph,65,276,8,32,14,57,7,21,1,7
Makelangelo,com.marginallyclever.convenience,W3CColorNames,8,1510,0,4,2,155,2,4,2,2
Makelangelo,com.marginallyclever.convenience,ResizableImagePanel.new MouseAdapter() {...},53,0,0,0,9,0,2,0,2,0
Makelangelo,com.marginallyclever.convenience,ResizableImagePanel.new MouseAdapter() {...},12,0,0,0,3,0,2,0,2,0
Makelangelo,com.marginallyclever.convenience,SoundSystem,48,0,2,0,20,0,8,0,7,0
Makelangelo,com.marginallyclever.convenience,LineInterpolator,156,0,6,0,35,0,12,0,9,0
Makelangelo,com.marginallyclever.convenience,Sequence2D,15,0,0,0,6,0,2,0,2,0
Makelangelo,com.marginallyclever.convenience,CommandLineOptions,57,0,8,0,11,0,8,0,4,0
Makelangelo,com.marginallyclever.convenience,ResizableImagePanel,182,0,6,0,40,0,8,0,5,0
